시군구,기타관광쇼핑,대형쇼핑몰,레저용품쇼핑,면세점,기타숙박,캠핑장/펜션,콘도,호텔,일반외식업,제과음료업,골프장,관광유원시설,기타레저,문화서비스,스키장,여행업,렌터카,수상운송,육상운송,항공운송,뷰티,의료관광
강원특별자치도 강릉시,3222645964,7091476632,1001916127,133376,785770988,2873572135,4877873389,3941965285,15474717194,2960101077,2265376983,1766227129,773905845,589001215,0,383957775,453374340,1379944408,427958168,31973,655467328,219701429
강원특별자치도 고성군,1740748437,3080110560,530260649,84353,448983170,1548205123,2991123714,2246406046,8174793049,1795749115,1739073074,1057823541,355055869,347779988,0,205836604,234937222,936445555,254542694,96913,409003681,118051077
강원특별자치도 동해시,1834485277,3188346284,549801828,359434,464851365,2012526546,3252114204,2479342427,10491104612,1344412169,1334701761,810027037,366936621,383128427,0,226075968,246655345,931096195,302298632,55236,375907739,121710760
강원특별자치도 삼척시,2046392517,3213520328,443071394,152120,481309799,2010678292,2938190936,2747483152,9884843602,1692580328,1684245193,908367432,340173401,369768672,0,223004406,262934788,917435358,288456035,112396,476650578,120436424
강원특별자치도 속초시,3555180338,6662348907,920100946,153382,702700979,3007652232,4681439563,4724323822,16375254584,2776133290,2742014543,1507729386,725784221,694486742,0,412978077,451672992,1740169738,561167436,76965,661585902,190052686
강원특별자치도 양구군,1732904187,3441910645,578121243,22959,509129842,1751780011,2585324603,2134677368,9597310978,1750930669,1697937787,792740072,395761838,390509576,0,186437989,246510132,287919,253878396,87876,369755858,101349555
강원특별자치도 양양군,1744770895,3825862353,536893200,76559,387810736,1809094377,2791075139,2018161717,9232902333,1755017339,1379181123,830742924,393417355,459975500,0,220947127,270878765,857014698,296623037,85739,489127207,104613721
강원특별자치도 영월군,2082933686,4061210551,469622446,96225,385766608,1791761104,3090667179,2015024490,9742050421,1413780626,1627649372,849832262,405053852,389728429,0,188298303,252066497,1041301,302648107,75980,445081200,123570048
강원특별자치도 원주시,3455621810,6430960587,814564892,506358,813706475,3627282425,4547074603,3777054875,17613601391,3092612499,2952443529,1626564419,734778620,749940826,0,408707011,483462783,621212,444641279,117546,747308916,179230521
강원특별자치도 인제군,1908328619,3503264735,605854100,121767,412298780,1674077295,3047358045,2432554017,10737707579,1573613845,1542700963,867909982,386232791,361050655,0,229477735,255099622,1979899,307068222,72854,474829554,125698753
강원특별자치도 정선군,1728332218,3613689667,518164039,372767,521899166,1829506971,2745490079,2579511412,10597031897,1763254564,1405885336,978822196,385431925,455360025,0,190964347,230007600,2049794,250249520,43844,498653517,119396782
강원특별자치도 철원군,1612214358,3304759923,560671810,19073,437096831,2019226044,3032245201,2445588040,10374783622,1509261966,1416206976,1069379999,432259104,422760448,0,202465068,252415793,2455493,314212688,81685,496075281,92025399
강원특별자치도 춘천시,3330986695,6338482618,962992497,142463,797410787,2996226962,5315868213,3480320618,14754729807,3078252001,2471872208,1508802716,676839846,764811773,0,379828869,387770730,2073246,477876137,106972,821856820,227280903
강원특별자치도 태백시,1884891790,3311776020,577776532,405638,487769672,1618380606,2637702100,2053390086,9135606759,1672404485,1310939214,1101590113,377413253,358058556,0,195499707,289015249,635313,304963911,12381,461045287,98233314
강원특별자치도 평창군,1921333718,3333659320,446129911,382312,392447064,1510865654,3306527004,2537034552,9865277669,1391191132,1472477454,928612015,346241493,369814768,0,208421960,268869573,1985478,239061230,13716,466236616,96481508
강원특별자치도 홍천군,1618803069,3653765773,461259102,452467,474124592,1919301696,2952166468,2162737939,10649657258,1727670698,1527544559,1013475275,406274399,366807061,0,195247765,260275456,1815781,308472928,128323,441185937,120499363
강원특별자치도 화천군,1855502614,3273012168,531787000,101847,467283280,2069592111,3054202459,2645871816,8922117365,1402026374,1588310285,1070353077,463000351,393167204,0,232000994,252285388,599737,256226843,27643,489217392,97935521
강원특별자치도 횡성군,2189924953,3535622233,580947739,481271,383335978,1574689541,3183423748,2718418349,8987488848,1795391903,1567566815,962303501,376962084,328056216,0,210441148,270945245,2011253,305962225,30662,503356417,130328887
경기도 가평군,2848784851,3901323319,712658913,82867,505410023,2083650957,3777987539,3056550556,10226123293,1675533669,2038295885,1036010236,516969515,511129005,0,229978799,369949307,1505552,416678495,138814,619173306,142863118
경기도 고양시,4012090445,6872648799,1275467070,309191,915132595,1316404247,2108357881,5084414643,21374990634,3491747075,3578805462,2358769901,929419072,931356726,0,448261520,566332962,984540,715744616,76843,1138176105,220185136
경기도 과천시,2662517561,4575258137,753888982,313322,565675093,633192428,1038084257,2827160150,11022791051,2188361946,2023267310,1141634450,522428489,533429196,0,231856287,323875103,1770358,343008537,61218,510668235,121485897
경기도 광명시,2246935275,4296080810,604059557,607644,552517273,719480155,1306946907,3225079329,10555060752,2245264712,2070975391,1330414382,509548276,509250050,0,291770055,353716915,1527369,355160691,87477,629790343,120167694
경기도 광주시,2492807734,4290167065,771040264,409212,477439740,649187007,1103800621,2623967779,10430354110,2098232227,1907388388,1289180167,534438448,498510704,0,289346534,308967824,2027985,320795297,55249,503415993,148562208
경기도 구리시,2559358811,3763618689,610841038,485722,565656626,793129687,1174862412,3292107945,12602763684,2019074617,2073331996,1166863947,419539443,434811341,0,264759445,347265386,541866,386552543,9083,579326649,136915097
경기도 군포시,2142167918,4912060211,668398214,591339,549662229,751261116,1312454165,3336010757,11148354810,2180090310,1905374795,1129415434,470432429,546059784,0,244889040,330822593,1995803,375073116,29007,486321007,121017674
경기도 김포시,2402791796,4129235496,636044468,333616,537470821,876325167,1248202052,2651280169,13287448531,1830949873,1770494750,1053706835,506928309,488608213,0,288573276,295083531,243074,320112326,13998,561808123,142799069
경기도 남양주시,2209094675,4435347134,539774202,86291,607516083,667563584,1134996972,2779589335,11609756116,2025249684,1812185700,1200290288,503455847,435198662,0,268741763,349398937,668550,328556735,118208,520607722,122998011
경기도 동두천시,2319414551,3839634732,615254633,96999,564031549,690151452,1167708504,2973070267,11156413152,2061222042,1814673899,1266964728,526860244,482344168,0,265417154,302479545,338341,368340041,42450,563687689,135502157
경기도 부천시,2712663764,3821351542,608534531,1726,495866573,681991516,1085764537,2688281192,13807878237,1753000045,1828231260,1129508236,547453689,443675447,0,301839105,349130191,1194157,354867110,19294,573559888,140492579
경기도 성남시,4198991464,9075270696,1098363901,466749,996239528,1363211403,1933625571,4748350641,21711336349,3340118312,3528851523,1874971950,872963709,908381784,0,445540540,539601641,2150118,585022053,7720,916613413,260389953
